id	kosha_layer	kosha_english	kosha_domain	sub_category	scenario	intensity	trigger_type	recommended_technique	student_profile_tag	context_notes
23	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Illness	Back pain from sitting 14 hours a day coding	Medium	Chronic	Yoga asanas (Cat-Cow, Child's pose) + movement breaks	Engineering_4th_Year	Postural stress syndrome; sedentary pattern
24	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Illness	Recurring stomach aches with no clear medical cause	Medium	Chronic	Gut-brain axis psychoeducation + Pranayama	Science_2nd_Year	Functional abdominal pain; anxiety linked
25	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Illness	Heart palpitations during panic attacks that feel like cardiac events	High	Acute	4-7-8 Breathing + Medical screening + PFA grounding	Engineering_Final_Year	Panic-induced tachycardia; rule out cardiac cause
26	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Illness	Constant headaches from dehydration while coding all night	Low	Chronic	Hydration reminder + Body scan awareness	Engineering_2nd_Year	Dehydration-induced cognitive decline
27	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Illness	Skin breakouts causing self-consciousness and avoiding social events	Medium	Chronic	Ahimsa self-compassion + Vijnanamaya reframing	Science_1st_Year	Dermatological stress response; body image issue
28	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Illness	Chest tightness every Sunday evening before the new week	High	Chronic	Anticipatory anxiety PFA + Pranayama + Weekly planning	Engineering_2nd_Year	Sunday scaries; pre-week dread pattern
29	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Illness	Trembling hands during oral viva presentations	Medium	Acute	Grounding + Mudra practice + Pre-presentation routine	Engineering_3rd_Year	Performance anxiety; somatic expression
30	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Illness	Sweating excessively in social settings causing embarrassment	Medium	Chronic	Sympathetic nervous system regulation + Pranayama	Arts_1st_Year	Social anxiety with somatic features
31	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Fatigue & Energy	Feeling physically exhausted despite sleeping 8 hours	High	Chronic	Pranamaya + Pratyahara + Medical thyroid check	Science_3rd_Year	Non-restorative sleep; rule out thyroid/anemia
32	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Fatigue & Energy	Extreme fatigue crashing after every exam season	Medium	Acute	Annamaya rest + Yoga Nidra recovery protocol	Engineering_3rd_Year	Post-exam burnout; recovery phase needed
33	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Fatigue & Energy	Dragging through the day with zero energy or motivation	High	Chronic	Pranamaya awakening + Kapalbhati + Behavioral activation	All_Students	Chronic low arousal; possible depression
34	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Fatigue & Energy	Legs feeling heavy and mind foggy in afternoon lectures	Low	Chronic	Post-lunch Pranayama + movement break + Pratyahara	All_Students	Post-lunch dip; circadian rhythm intervention
35	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Fatigue & Energy	Physical exhaustion from managing part-time job and academics	High	Chronic	Annamaya nourishment + Boundary-setting PFA	Engineering_2nd_Year	Dual-role overload; energy management coaching
36	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Fatigue & Energy	Feeling physically drained after conflict with parents	High	Acute	Somatic discharge + Pranayama + PFA emotional support	Arts_2nd_Year	Emotional-physical depletion link
37	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Fatigue & Energy	Too tired to exercise even though it usually helps	Medium	Chronic	Micro-movement + 5-min Yoga sequence + Behavioral nudge	Engineering_3rd_Year	Motivation-fatigue loop; start small
38	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Fatigue & Energy	Energy crash after crying spells lasting hours	High	Acute	Rest + Hydration + Yoga Nidra + Emotional first aid	Arts_1st_Year	Post-crying fatigue; validate and restore
39	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Fatigue & Energy	Yawning constantly in class despite caffeine intake	Low	Chronic	Caffeine reduction + Breath energizer + Sleep audit	Engineering_2nd_Year	Caffeine tolerance buildup; sleep audit needed
40	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Fatigue & Energy	Feeling paralyzed and unable to get out of bed in the morning	High	Chronic	Yoga Nidra to wake + Body scan + Depression screening	Arts_2nd_Year	Possible MDD; monitor for 2+ weeks
41	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Body Image	Comparing body with gym-going hostel roommates and feeling inadequate	Medium	Social	Ahimsa self-talk + Manomaya reframing + Metta	Engineering_1st_Year	Social comparison body image; peer environment trigger
42	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Body Image	Avoiding swimming pool sessions because of body shame	Medium	Chronic	Annamaya acceptance + Gradual exposure + Self-compassion	Science_2nd_Year	Avoidance behavior; body dysmorphia watch
43	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Body Image	Obsessively checking weight three times a day	High	Chronic	Scale detox + Annamaya kosha holistic view + Counseling	Science_1st_Year	Weight preoccupation; refer if escalating
44	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Body Image	Feeling too thin and being mocked by peers in the hostel	Medium	Social	Metta loving-kindness + Social coping + Annamaya nourishment	Engineering_1st_Year	Ectomorph shame; peer bullying element
45	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Body Image	Stress eating and hating oneself afterward in a shame cycle	High	Chronic	Shame-eating cycle PFA + Ahimsa + Manomaya therapy	Arts_2nd_Year	Shame-binge loop; high priority counseling
46	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Activity	Not exercising for 3 months and feeling the physical decline	Medium	Chronic	5-min daily Surya Namaskar + Habit stacking	Engineering_3rd_Year	Sedentary creep; micro-habit approach
47	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Activity	Gym anxiety because more experienced peers judge form	Medium	Social	Pratyahara + Solo yoga alternative + Gradual gym reentry	Engineering_1st_Year	Gym intimidation; safe exercise environment
48	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Activity	Knee injury stopping all sports causing emotional withdrawal	High	Acute	Grief for physical self + Seated Pranayama + Adaptation	Sports_Student	Injury grief; adaptation to modified activity
49	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Activity	Feeling too stressed to exercise even though it helps anxiety	Medium	Chronic	Motivation reframe + Pranayama walk + 10-min minimum	Engineering_2nd_Year	Exercise avoidance paradox; gentle activation
50	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Activity	Missing the college cricket team after being dropped from the squad	High	Social	Grief PFA + Identity reframe + Alternative movement joy	Sports_Student	Identity loss through sports exclusion
51	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sensory Overload	Crowded canteen triggering physical discomfort and shutdown	High	Environmental	Pratyahara + Sensory anchoring + Safe-space identification	Science_1st_Year	Sensory sensitivity; possible HSP or ASD traits
52	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sensory Overload	Loud construction noise near hostel disrupting focus daily	Medium	Environmental	Pratyahara + Noise-cancelling routine + Study relocation	All_Hostellers	Environmental chronic stressor
53	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sensory Overload	Bright fluorescent lights in exam hall triggering headaches	Medium	Environmental	Visual Pratyahara + Pre-exam grounding ritual	Engineering_3rd_Year	Photosensitivity under stress
54	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sensory Overload	Strong smell of chemicals in lab causing nausea and anxiety	Medium	Environmental	Breath focus + Scent anchoring + Grounding	Science_Lab_Student	Olfactory trigger; anxiety and nausea
55	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sensory Overload	Touch sensitivity making crowded buses feel unbearable	Medium	Environmental	Pratyahara + Personal space planning + Grounding	Commuter_Student	Tactile defensiveness; transport anxiety
103	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Breath Awareness	Forgetting to breathe deeply during an anxiety attack in class	High	Acute	Box Breathing + Diaphragmatic breath coaching	Engineering_3rd_Year	Hyperventilation loop; immediate breathwork
104	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Breath Awareness	Holding breath unconsciously while reading difficult problems	Medium	Chronic	Breath awareness cue + 5-5-5 breathing	Engineering_2nd_Year	Apnea under cognitive load; mindful breathing
105	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Breath Awareness	Shortness of breath climbing stairs due to anxiety not fitness	High	Acute	Vagal breathing + Grounding + Medical screening	Science_1st_Year	Anxiety-driven dyspnea; rule out asthma
106	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Breath Awareness	Breathing fast and shallow when reading exam results online	High	Acute	4-7-8 Breathing + PFA grounding + Psychoeducation	Engineering_3rd_Year	Result-anxiety hyperventilation
107	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Breath Awareness	Noticing breath getting tight during parental phone calls about marks	High	Social	Breath anchor + Assertiveness PFA + Boundary coaching	Engineering_2nd_Year	Parental pressure somatic response
108	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Breath Awareness	Yawning frequently in stressful situations as a coping reflex	Low	Chronic	Breath awareness + Vagal toning education	All_Students	Vagal reset via yawn; educate on breath
109	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Breath Awareness	Breathing through mouth chronically due to stress and nasal congestion	Medium	Chronic	Nasal breathing training + Buteyko basics + Pranamaya	All_Students	Mouth breathing; impacts nervous system regulation
110	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Breath Awareness	Feeling suffocated in closed seminar rooms during long lectures	Medium	Environmental	Pratyahara + Window-side seating + Breath anchor	All_Students	Claustrophobia-adjacent anxiety
111	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Breath Awareness	Panic breathing pattern developing during online exam proctoring	High	Acute	Pre-exam breath ritual + Grounding + Cognitive anchor	Engineering_3rd_Year	Online exam surveillance anxiety
112	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Breath Awareness	Irregular breath during conflict with professor in front of class	High	Social	Pause breath + Dignified exit + PFA debrief	Engineering_2nd_Year	Public humiliation somatic response
113	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Energy Depletion	Feeling energetically drained after a group project meeting	Medium	Social	Pranamaya replenishment + Introvert recovery practices	Engineering_2nd_Year	Social energy drain; introvert pattern
114	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Energy Depletion	Prana drain from constantly being 'the responsible one' in the group	High	Chronic	Role boundary PFA + Delegation + Pranamaya rest	Engineering_3rd_Year	Caretaker fatigue in peer groups
115	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Energy Depletion	Energy crash after long online classes sitting motionless	Medium	Chronic	Movement micro-breaks + Pranayama energizer + Pratyahara	All_Online_Students	Digital fatigue + postural stagnation
116	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Energy Depletion	Feeling like running on empty after 3 all-nighters in a row	High	Acute	Emergency Yoga Nidra + Annamaya + Medical check	Engineering_3rd_Year	Sleep deprivation crisis; urgent intervention
117	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Energy Depletion	Post-COVID fatigue lasting months affecting attendance	High	Chronic	Pranamaya gentle restoration + Pranayama + Medical follow-up	Any_Student	Long COVID fatigue; needs medical management
118	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Energy Depletion	Energy completely gone after a heated argument with hostel warden	High	Social	Somatic discharge + Pranamaya rest + PFA debrief	Hostel_Students	Authority conflict somatic drain
119	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Energy Depletion	Feeling wiped out from maintaining a happy facade all day	High	Chronic	Emotional authenticity coaching + Pranamaya recharge	Arts_2nd_Year	Masking exhaustion; emotional labor
120	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Energy Depletion	Flat energy the entire week after getting a low grade on a project	Medium	Acute	Grief validation + Pranamaya + Behavioral reactivation	Engineering_2nd_Year	Defeat response energy collapse
121	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Energy Depletion	Feeling depleted from being the emotional support for all friends	High	Chronic	Boundary PFA + Pranamaya self-care + Metta toward self	Arts_3rd_Year	Emotional support overload; boundary work needed
122	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Energy Depletion	Unable to feel rested no matter how much sleep is taken	High	Chronic	Non-restorative sleep protocol + Yoga Nidra + Medical referral	Science_2nd_Year	Possible sleep disorder; clinical screening
123	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Vitality & Life Force	Losing the spark that made studying enjoyable earlier	High	Chronic	Svadhyaya (self-study) + Vijnanamaya purpose work	Engineering_3rd_Year	Anhedonia onset; depression screening
124	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Vitality & Life Force	Feeling flat and grey even during festivals or celebrations	High	Chronic	Anandamaya reconnect + Metta + Depression referral	Arts_2nd_Year	Emotional blunting; MDD possibility
125	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Vitality & Life Force	No enthusiasm for any subject despite choosing the stream voluntarily	High	Chronic	Vijnanamaya purpose exploration + Career counseling	Engineering_2nd_Year	Interest-course mismatch; existential drift
126	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Vitality & Life Force	Dreading waking up every morning without a clear reason	High	Chronic	Morning Pranayama ritual + Anandamaya intention-setting	All_Students	Anhedonic mornings; depression marker
127	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Vitality & Life Force	Joy returning briefly after a good conversation then disappearing	Medium	Chronic	Positive emotion amplification + Pranamaya nurture	Arts_1st_Year	Hedonic dampening; build positive reserves
128	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Vitality & Life Force	Feeling alive only during creative activities then dead otherwise	Medium	Chronic	Creative Pranamaya integration + Course-life balance	Arts_3rd_Year	Selective vitality; channel into academics
129	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Vitality & Life Force	Comparing current low energy self to the high-achieving self of 2 years ago	High	Chronic	Compassionate timeline + Svadhyaya + Self-narrative work	Engineering_3rd_Year	Identity-performance gap distress
130	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Vitality & Life Force	Feeling like going through the motions without truly living	High	Chronic	Anandamaya awakening + Existential PFA + Therapy referral	Engineering_Final_Year	Depersonalization element; needs clinical attention
131	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Vitality & Life Force	Burst of energy then complete crash in a daily cycle	Medium	Chronic	Ultradian rhythm education + Pranamaya pacing	Engineering_2nd_Year	Energy dysregulation; possible bipolar lite
132	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Vitality & Life Force	No desire to participate in clubs or events previously enjoyed	High	Chronic	Social withdrawal tracking + Anandamaya rekindling	Engineering_1st_Year	Social anhedonia; early depression signal
133	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Prana Dysregulation	Sudden surge of energy and racing thoughts at 2 AM	High	Chronic	Sheetali Pranayama + Pratyahara wind-down + Sleep anchoring	Engineering_2nd_Year	Hypomanic or anxiety-driven nocturnal arousal
134	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Prana Dysregulation	Restless leg sensation preventing sleep; leg energy not settling	Medium	Chronic	Legs-up-the-wall + Yoga Nidra + Medical RLS check	Science_2nd_Year	Restless leg syndrome or anxiety-linked
135	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Prana Dysregulation	Tingling in hands and feet during panic that scares the student	High	Acute	Psychoeducation on panic + Diaphragmatic breathing + Grounding	Engineering_3rd_Year	Hyperventilation paresthesia; demystify
136	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Prana Dysregulation	Heart rate spiking to 140 just from getting a notification	High	Acute	Vagal maneuver + 4-7-8 breath + Phone anxiety coaching	Engineering_2nd_Year	Digital notification anxiety; autonomic dysregulation
137	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Prana Dysregulation	Feeling buzzy and wired after caffeinated study sessions	Medium	Acute	Sheetali + Cold water + Grounding + Caffeine audit	Engineering_3rd_Year	Caffeine overstimulation; Pranamaya calming
138	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Prana Dysregulation	Sweating palms and shaky voice at the start of every presentation	Medium	Acute	Pre-presentation ritual + Kumbhaka breath + Grounding object	Engineering_2nd_Year	Performance autonomic activation
139	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Prana Dysregulation	Shaking uncontrollably after receiving bad news about academics	High	Acute	TRE-adjacent shaking acknowledgment + PFA support + Grounding	Engineering_3rd_Year	Acute stress response somatic discharge
140	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Prana Dysregulation	Dizzy spells when standing up suddenly after long study sessions	Medium	Chronic	Orthostatic hypotension + Pranamaya awareness + Hydration	Engineering_2nd_Year	Orthostatic dysregulation; medical check
141	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Prana Dysregulation	Feeling frozen and unable to move during panic attacks	High	Acute	Freeze response PFA + Gentle movement + Somatic thaw	Science_1st_Year	Freeze panic response; somatic work
142	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Prana Dysregulation	Irregular heartbeat sensation noticed during stressful periods	High	Acute	Medical urgent referral + Calm breath + PFA support	Engineering_Final_Year	Cardiac symptom; medical priority then psycho-support
143	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Pranayama Response	Pranayama making anxiety worse instead of better	High	Acute	Breath-anxiety paradox education + Shorter exhale-focus only	Science_2nd_Year	Pranayama paradox; adjust technique
144	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Pranayama Response	Feeling lightheaded after trying Kapalabhati on YouTube	Medium	Acute	Technique correction + Supervised Pranayama introduction	Engineering_1st_Year	Self-taught Pranayama error; retraining
145	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Pranayama Response	Breath hold exercises triggering panic instead of calm	High	Acute	Avoid Kumbhaka for now + Exhale-extension only technique	Science_1st_Year	Breath retention trauma; avoid holds initially
146	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Pranayama Response	Falling asleep immediately during Pranayama exercises	Low	Acute	Time-of-day adjustment + Seated practice + Kapalbhati starter	Engineering_2nd_Year	Parasympathetic override; adjust timing
147	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Pranayama Response	Unable to concentrate on breath without intrusive thoughts flooding in	High	Chronic	Non-breath anchor option + Manomaya cognitive work first	Engineering_3rd_Year	Racing mind interrupts practice; needs thought labeling first
148	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Pranamaya Environment	Stale hostel air with no ventilation causing daily lethargy	Medium	Environmental	Morning outdoor Pranayama ritual + Window strategy	Hostel_Students	Poor ventilation; Pranamaya environmental fix
149	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Pranamaya Environment	Feeling energized only in natural settings but trapped in campus	Medium	Chronic	Nature Pranayama walks + Pranamaya sensory rituals	Engineering_2nd_Year	Nature deficit disorder; outdoor prescription
150	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Pranamaya Environment	Pollution-heavy campus area affecting breathing and mood	Medium	Environmental	Indoor Pranayama + Air quality awareness + Neti awareness	Urban_Campus_Students	Environmental Pranamaya disruption
151	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Pranamaya Environment	Weather changes (monsoon humidity) tanking energy levels	Low	Environmental	Seasonal Pranayama adaptations + Ayurvedic seasonal tips	All_Students	Seasonal energy variation; normalize and adapt
152	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Pranamaya Environment	Post-festival sugar-crash energy dip lasting days	Low	Acute	Blood sugar stabilization + Pranayama + Annamaya reset	All_Students	Festive diet disruption; Pranamaya recovery
153	Pranamaya Kosha	Vital/Energy Body	Life force, breath, energy flow, vitality	Pranamaya Environment	City student depleted from rural campus isolation	High	Environmental	Pranamaya reconnect + Social ritual building + Metta	Urban_to_Rural_Campus	Environmental mismatch; social support deficit
205	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anxiety	Constant worry about failing the semester dominating all thoughts	High	Chronic	Thought defusion + Nadi Shodhana + CBT elements	Engineering_2nd_Year	Generalized academic anxiety; persistent worry
206	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anxiety	Panic attack mid-exam blanking out completely on known answers	High	Acute	In-exam grounding + Box breathing + Mantra anchor	Engineering_3rd_Year	Test anxiety with dissociation element
207	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anxiety	Social anxiety preventing asking questions in class despite knowing answers	Medium	Chronic	Manomaya reframing + Gradual exposure + Metta	Engineering_1st_Year	Social evaluation anxiety; classroom participation
208	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anxiety	Health anxiety â€” Googling symptoms and convincing oneself of diseases	High	Chronic	Cyberchondria coaching + Vijnanamaya discernment + Medical facts	Science_2nd_Year	Health anxiety; internet reinforcement loop
209	Manomaya Kosha	Mental/Emotional Body	Thoughts, emotions, feelings, memory, perception	Anxiety	Anticipatory anxiety about results for weeks before they arrive	High	Chronic	Present-moment anchoring + Pranamaya + Distress tolerance	Engineering_3rd_Year	Future-oriented anxiety; uncertainty intolerance
